Molecule;State;TCC;x1;y1;z1;x2;y2;z2;NICS(0);NICS_zz(0);NICS(1);NICS_zz(1)
Benzene;0;0;0;0;0;0;0;1;-8.118;-16.375;-10.032;-30.045
Benzene-br;0;0;1.639;0;0;1.639;0;1;-8.346;-15.194;-9.712;-28.229
Benzene-ch3;0;0;0.459;0;0.002;0.459;0;1.002;-8.002;-15.087;-9.927;-29.271
Benzene-cho;0;0;0.878;-0.02;0;0.878;-0.02;1;-7.794;-13.579;-9.966;-28.675
Benzene-cl;0;0;0.949;0;0;0.949;0;1;-8.553;-15.337;-9.753;-28.423
Benzene-cn;0;0;0.842;0;0;0.842;0;1;-8.456;-15.126;-10.057;-28.996
Benzene-coch3;0;0;1.191;0.019;0;1.191;0.019;1;-7.951;-13.678;-9.998;-28.57
Benzene-conh2;0;0;-1.198;0.007;0;-1.198;0.007;-1;-8.179;-14.364;-10.313;-28.999
Benzene-cooch3;0;0;1.599;-0.076;0;1.599;-0.076;1;-7.992;-13.924;-9.987;-28.647
Benzene-cooh;0;0;1.209;-0.003;0;1.209;-0.003;1;-7.973;-14.146;-9.973;-28.785
Benzene-f;0;0;0.51;0;0;0.51;0;1;-9.84;-16.762;-10.094;-29.133
Benzene-n_ch3_2;0;0;-1.182;0;-0.007;-1.182;0;-1.007;-8.142;-12.442;-9.184;-26.71
Benzene-nh2;0;0;-0.463;0;0.001;-0.463;0;1.001;-7.893;-11.714;-8.999;-26.196
Benzene-nh3;0;0;-0.499;0;0;-0.499;0;1;-9.411;-16.35;-10.283;-29.56
Benzene-no2;0;0;1.184;0;0;1.184;0;1;-9.064;-14.971;-10.199;-28.8
Benzene-no;0;0;0.86;-0.022;0;0.86;-0.022;1;-8.293;-12.698;-9.87;-27.591
Benzene-och3;0;0;0.887;-0.03;0;0.887;-0.03;1;-8.919;-14.446;-9.745;-28.13
Benzene-oh;0;0;0.474;-0.001;0;0.474;-0.001;1;-8.961;-14.474;-9.558;-27.73
Benzene-ph2;0;0;-0.95;0.001;-0.001;-0.95;0.001;-1.001;-7.716;-15.108;-9.966;-29.233
Benzene-sh;0;0;0.925;0.001;0;0.925;0.001;1;-7.688;-13.339;-9.29;-27.26
Benzene-sih3;0;0;0.929;0;0.002;0.929;0;1.002;-7.3;-14.859;-9.949;-29.476
Benzene;1;0;0;0;0;0;0;1;27.217;90.95;19.324;58.47
Benzene-br;1;0;1.663;-0.007;0.179;1.663;-0.007;1.179;-10.646;-17.134;-17.134;-28.369
Benzene-ch3;1;0;-0.459;0.016;0;-0.459;0.016;1;24.576;83.958;17.171;52.654
Benzene-cho;1;0;0.877;-0.022;0;0.877;-0.022;1;-3.849;-3.225;-6.043;-19.094
Benzene-cl;1;0;0.853;0;-0.152;0.853;0;-1.152;6.427;23.753;2.743;9.49
Benzene-cn;1;0;0.838;0;0;0.838;0;1;19.408;68.453;12.99;40.301
Benzene-coch3;1;0;-1.196;-0.019;0;-1.196;-0.019;1;-3.848;-2.576;-6.111;-18.875
Benzene-conh2;1;0;-1.176;0.002;-0.059;-1.176;0.002;-1.059;17.073;58.459;10.857;34.049
Benzene-cooch3;1;0;-1.596;-0.084;0;-1.596;-0.084;1;21.129;72.948;14.151;44.087
Benzene-cooh;1;0;1.206;-0.012;0;1.206;-0.012;1;20.987;72.293;14.036;43.615
Benzene-f;1;0;0.51;0.018;0;0.51;0.018;1;24.966;87.654;18.387;56.584
Benzene-n_ch3_2;1;0;1.186;-0.016;-0.002;1.186;-0.016;-1.002;23.574;81.672;16.772;51.722
Benzene-nh2;1;0;-0.459;0.013;0.001;-0.459;0.013;1.001;25.468;88.883;18.512;56.109
Benzene-nh3;1;0;-0.422;0;-0.141;-0.422;0;-1.141;6.418;25.675;2.556;9.259
Benzene-no2;1;0;-1.203;0;0.008;-1.203;0;1.008;-8.037;-12.202;-9.143;-26.656
Benzene-no;1;0;0.874;-0.021;0;0.874;-0.021;1;-7.018;-9.653;-8.261;-23.857
Benzene-och3;1;0;0.889;-0.047;0;0.889;-0.047;1;24.675;86.337;17.859;54.744
Benzene-oh;1;0;0.472;0.017;0;0.472;0.017;1;25.171;87.805;18.346;56.078
Benzene-ph2;1;0;-0.874;0;-0.118;-0.874;0;-1.118;8.777;32.406;5.247;16.634
Benzene-sh;1;0;-0.838;-0.001;0.135;-0.838;-0.001;1.135;8.138;29.889;4.545;-12.374
Benzene-sih3;1;0;-0.841;0;-0.14;-0.841;0;-1.14;8.755;29.819;5.786;18.46
Coronenee;0;1;0;0;0;0;0;1;1.251;18.926;-3.364;-5.815
Coronenee;0;1;1.228;-2.127;0;1.228;-2.127;1;-9.134;-13.92;-11.478;-31.148
c96h24;0;1;0;0;0;0;0;1;0.597;18.793;-4.819;-8.729
c96h24;0;1;0;4.257;0;0;4.257;1;0.761;18.916;-4.439;-7.794
c96h24;0;1;7.378;0;0;7.378;0;1;2.392;21.569;-1.997;-1.568
c96h24;0;1;-3.687;2.128;0;-3.687;2.128;1;0.759;18.919;-4.439;-7.785
c96h24;0;1;3.689;-6.389;0;3.689;-6.389;1;2.394;21.566;-1.994;-1.562
c96h24;0;1;-1.228;2.128;0;-1.228;2.128;1;-10.312;-14.058;-13.787;-35.925
c96h24;0;1;-2.458;-4.257;0;-2.458;-4.257;1;-9.627;-12.353;-12.921;-33.545
c96h24;0;1;-4.916;0;0;-4.916;0;1;-9.629;-12.351;-12.925;-33.549
c96h24;0;1;-4.917;4.258;0;-4.917;4.258;1;-12.804;-22.838;-14.919;-40.183
c96h24;0;1;-6.146;2.129;0;-6.146;2.129;1;-12.805;-22.848;-14.917;-40.177
Circo;0;1;0;0;0;0;0;1;-12.88;-22.304;-15.619;-41.968
Circo;0;1;4.258;-2.458;0;4.258;-2.458;1;-3.897;2.376;-7.28;-17.828
Circo;0;1;0;4.917;0;0;4.917;1;-3.9;2.377;-7.283;-17.835
Circo;0;1;0;2.458;0;0;2.458;1;-2.36;9.109;-6.799;-15.297
Circo;0;1;-2.129;1.229;0;-2.129;1.229;1;-2.359;9.107;-6.797;-15.295
Circo;0;1;4.257;0;0;4.257;0;1;-14.413;-27.988;-16.163;-44.279
Circo;0;1;-2.128;3.687;0;-2.128;3.687;1;-14.412;-27.98;-16.166;-44.29
c150h30-dist;0;1;0;0;0;0;0;1;-14.524;-22.082;-17.644;-44.573
c150h30-dist;0;1;-2.128;3.685;0;-2.128;3.685;-1;-14.745;-22.923;-17.706;-44.908
c150h30-dist;0;1;4.258;-7.376;0;4.258;-7.376;1;-16.284;-29.155;-18.055;-46.88
c150h30-dist;0;1;-8.517;0;0;-8.517;0;1;-16.276;-29.133;-18.048;-46.862
c150h30-dist;0;1;-2.127;1.228;0;-2.127;1.228;1;-3.689;10.353;-8.71;-17.728
c150h30-dist;0;1;4.256;-2.457;0;4.256;-2.457;1;-4.326;8.236;-9.099;-19.052
c150h30-dist;0;1;0;-4.914;0;0;-4.914;1;-4.325;8.237;-9.099;-19.05
c150h30-dist;0;1;-6.386;-1.229;0;-6.386;-1.229;1;-2.642;12.991;-7.528;-14.503
c150h30-dist;0;1;-2.128;6.145;0;-2.128;6.145;-1;-2.641;12.996;-7.527;-14.501
c150h30-dist;0;1;-6.386;3.687;0;-6.386;3.687;1;-15.071;-24.409;-17.547;-44.836
c150h30-dist;0;1;0;-7.374;0;0;-7.374;1;-15.073;-24.414;-17.548;-44.84
c150h30-dist;0;1;-8.517;2.459;0;-8.517;2.459;1;-7.249;-2.032;-10.457;-24.059
c150h30-dist;0;1;-6.388;6.146;0;-6.388;6.146;-1;-7.254;-2.048;-10.462;-24.073
c150h30-dist;0;1;-8.521;4.92;0;-8.521;4.92;1;6.766;38.967;1.482;11.546
c150h30-dist;0;1;0;9.84;0;0;9.84;1;6.752;38.923;1.472;11.519
c150h30;0;1;0;0;0;0;0;1;-14.546;-22.151;-17.67;-44.649
c150h30;0;1;4.914;0;0;4.914;0;1;-4.402;8.005;-9.17;-19.263
c150h30;0;1;-2.457;4.256;0;-2.457;4.256;1;-4.403;8.004;-9.17;-19.264
c150h30;0;1;-3.687;6.386;0;-3.687;6.386;1;-15.113;-24.537;-17.587;-44.953
c150h30;0;1;7.374;0;0;7.374;0;1;-15.115;-24.542;-17.588;-44.957
c150h30;0;1;9.84;0;0;9.84;0;1;6.744;38.898;1.463;11.492
c150h30;0;1;-4.92;8.522;0;-4.92;8.522;1;6.757;38.942;1.472;11.519
c150h30;0;1;1.228;-2.127;0;1.228;-2.127;1;-3.771;10.108;-8.785;-17.954
c150h30;0;1;0;-4.256;0;0;-4.256;1;-14.773;-23.009;-17.736;-44.996
c150h30;0;1;0;4.256;0;0;4.256;1;-14.772;-23.008;-17.735;-44.996
c150h30;0;1;-1.229;6.386;0;-1.229;6.386;1;-2.72;12.76;-7.598;-14.714
c150h30;0;1;-4.916;4.257;0;-4.916;4.257;1;-2.718;12.764;-7.598;-14.711
c150h30;0;1;8.606;-2.128;0;8.606;-2.128;1;-7.316;-2.236;-10.515;-24.231
c150h30;0;1;6.146;-6.388;0;6.146;-6.388;1;-7.313;-2.224;-10.513;-24.225
c150h30;0;1;2.459;8.517;0;2.459;8.517;1;-7.307;-2.208;-10.508;-24.211
c150h30;0;1;-7.376;4.258;0;-7.376;4.258;1;-16.333;-29.304;-18.098;-47.009
c150h30;0;1;0;-8.517;0;0;-8.517;1;-16.325;-29.283;-18.091;-46.99
c216h36-dist;0;1;0;0;0;0;0;1;-0.912;18.938;-6.632;-11.226
c216h36-dist;0;1;-2.127;3.685;0;-2.127;3.685;1;-0.696;19.492;-6.376;-10.537
c216h36-dist;0;1;8.515;0;0;8.515;0;1;0.065;21.26;-5.364;-7.851
c216h36-dist;0;1;4.257;7.374;0;4.257;7.374;-1;0.066;21.264;-5.363;-7.849
c216h36-dist;0;1;-2.127;-1.228;0;-2.127;-1.228;1;-11.473;-12.748;-15.293;-37.3
c216h36-dist;0;1;-4.256;-2.457;0;-4.256;-2.457;1;-10.931;-11.219;-14.766;-35.803
c216h36-dist;0;1;-6.384;-1.228;0;-6.384;-1.228;-1;-12.067;-14.765;-15.591;-38.398
c216h36-dist;0;1;-6.385;-3.686;0;-6.385;-3.686;1;-0.492;19.824;-5.987;-9.578
c216h36-dist;0;1;6.385;3.686;0;6.385;3.686;1;-0.491;19.825;-5.987;-9.577
c216h36-dist;0;1;-2.128;-8.604;0;-2.128;-8.604;1;-8.942;-5.783;-12.72;-30.034
c216h36-dist;0;1;6.386;-6.145;0;6.386;-6.145;-1;-8.941;-5.779;-12.72;-30.032
c216h36-dist;0;1;8.515;-4.916;0;8.515;-4.916;1;-15.693;-26.173;-17.975;-46.053
c216h36-dist;0;1;0;9.833;0;0;9.833;1;-15.696;-26.182;-17.978;-46.06
c216h36-dist;0;1;-10.647;-1.229;0;-10.647;-1.229;-1;-14.115;-22.545;-16.238;-41.302
c216h36-dist;0;1;6.388;8.606;0;6.388;8.606;-1;-14.123;-22.568;-16.246;-41.323
c216h36-dist;0;1;8.519;7.376;0;8.519;7.376;-1;-0.74;17.631;-4.953;-7.392
c216h36-dist;0;1;2.128;11.066;0;2.128;11.066;-1;-0.745;17.611;-4.956;-7.403
c216h36-dist;0;1;10.654;6.151;0;10.654;6.151;1;9.894;48.517;4.219;19.892
c216h36-dist;0;1;0;12.302;0;0;12.302;1;9.878;48.463;4.208;19.858
c216h36;0;1;0;0;0;0;0;1;-0.933;18.875;-6.651;-11.282
c216h36;0;1;-2.127;-3.685;0;-2.127;-3.685;1;-0.718;19.426;-6.395;10.595
c216h36;0;1;8.516;0;0;8.516;0;1;0.039;21.184;-5.386;-7.915
c216h36;0;1;-4.258;-7.375;0;-4.258;-7.375;1;0.04;21.187;-5.386;-7.913
c216h36;0;1;0;-2.456;0;0;-2.456;1;-11.481;-12.774;-15.301;-37.325
c216h36;0;1;0;-4.914;0;0;-4.914;1;-10.941;-11.251;-14.775;-35.832
c216h36;0;1;-2.128;-6.143;0;-2.128;-6.143;1;-12.076;-14.792;-15.599;-38.422
c216h36;0;1;0;-7.373;0;0;-7.373;1;-0.515;19.754;-6.007;-9.639
c216h36;0;1;2.128;-8.604;0;2.128;-8.604;1;-8.959;-5.834;-12.735;-30.078
c216h36;0;1;-8.515;2.458;0;-8.515;2.458;1;-8.957;-5.83;-12.735;-30.075
c216h36;0;1;-10.648;-1.229;0;-10.648;-1.229;1;-14.129;-22.586;-16.25;-41.334
c216h36;0;1;6.389;8.606;0;6.389;8.606;1;-14.137;-22.61;-16.258;-41.355
c216h36;0;1;4.258;-9.836;0;4.258;-9.836;1;-14.139;-22.616;-16.259;-41.358
c216h36;0;1;-10.648;3.69;0;-10.648;3.69;1;-0.753;17.59;-4.963;-7.424
c216h36;0;1;8.52;-7.376;0;8.52;-7.376;1;-0.759;17.572;-4.969;-7.44
c216h36;0;1;-10.655;-6.151;0;-10.655;-6.151;1;9.889;48.501;4.214;19.876
c216h36;0;1;0;12.303;0;0;12.303;1;9.873;48.447;4.203;19.843
Pentalene;0;1;-1.599;-0.536;0.014;-1.599;-0.536;1.014;-27.696;-90.508;-20.956;-59.464
Pentalene;0;1;-3.539;-0.407;-0.01;-3.539;-0.407;-1.01;-27.637;-90.353;-20.884;-59.187
Indene;0;1;-3.805;-3.324;-0.003;-3.805;-3.324;-1.003;9.661;11.849;11.031;27.615
Indene;0;1;-1.599;-3.198;-0.003;-1.599;-3.198;-1.003;1.205;-21.763;3.961;5.266
Naphthalene;0;1;-1.04;-6.664;-0.04;-1.04;-6.664;-1.04;10.232;13.411;11.775;29.561
Naphthalene;0;1;-3.475;-6.459;0.042;-3.475;-6.459;1.042;10.173;13.232;11.74;29.14
as-Indacene;0;1;-4.124;-9.953;-0.092;-4.124;-9.953;-1.092;-24.556;-96.035;-17.875;-60.157
as-Indacene;0;1;-1.975;-10.314;0.096;-1.975;-10.314;1.096;-13.064;-58.255;-8.973;-33.938
as-Indacene;0;1;-0.632;-8.588;0.052;-0.632;-8.588;1.052;-24.449;-95.862;-17.851;-60.213
s-Indacene;0;1;-4.403;-13.203;-0.007;-4.403;-13.203;-1.007;-25.511;-101.946;-19.016;-64.658
s-Indacene;0;1;-2.227;-13.146;0;-2.227;-13.146;-1;-20.515;-81.433;-15.299;-52.579
s-Indacene;0;1;-0.052;-13.09;0.007;-0.052;-13.09;1.007;-25.359;-101.49;-18.928;-64.412
Acenaphthylene;0;1;-3.564;-16.523;0;-3.564;-16.523;1;7.782;4.925;9.61;22.459
Acenaphthylene;0;1;-2.357;-14.709;0.001;-2.357;-14.709;1.001;-3.756;-36.814;0.265;-7.508
Acenaphthylene;0;1;-1.151;-16.524;0.001;-1.151;-16.524;1.001;7.799;4.973;9.626;22.505
Acenaphthene;0;1;-1.244;-19.827;-0.06;-1.244;-19.827;-1.06;9.779;10.937;11.396;27.792
Acenaphthene;0;1;-2.475;-17.992;-0.058;-2.475;-17.992;-1.058;-1.094;-32.372;1.585;-2.224
Acenaphthene;0;1;-3.669;-19.851;-0.06;-3.669;-19.851;-1.06;9.8;11.003;11.416;27.849
3H-Benz[e]indene;0;1;-4.332;-23.126;0.074;-4.332;-23.126;1.074;10.049;12.466;11.504;28.483
3H-Benz[e]indene;0;1;-1.881;-23.334;0.075;-1.881;-23.334;1.075;9.606;10.073;11.303;27.273
3H-Benz[e]indene;0;1;-0.605;-21.52;0.075;-0.605;-21.52;1.075;0.975;-23.309;3.855;4.807
1H-Benz[e]indene;0;1;-4.225;-26.215;0.035;-4.225;-26.215;1.035;9.605;10.887;11.13;27.22
1H-Benz[e]indene;0;1;-1.769;-26.28;0.035;-1.769;-26.28;1.035;9.631;10.145;11.313;27.305
1H-Benz[e]indene;0;1;-0.583;-24.406;0.036;-0.583;-24.406;1.036;0.779;-24.206;3.5;3.654
Fluorene;0;1;6.724;1.266;0.18;6.724;1.266;1.18;8.972;9.482;10.524;27.785
Fluorene;0;1;4.599;1.884;0.181;4.599;1.884;1.181;-0.626;-28.795;2.817;0.592
Fluorene;0;1;2.533;1.092;0.181;2.533;1.092;1.181;8.95;9.467;10.526;25.771
1H-Benz[f]indene;0;1;2.895;-2.479;0.06;2.895;-2.479;1.06;10.043;12.401;11.532;28.515
1H-Benz[f]indene;0;1;5.339;-2.364;0.061;5.339;-2.364;1.061;9.951;10.617;11.412;27.478
1H-Benz[f]indene;0;1;7.546;-2.267;0.062;7.546;-2.267;1.062;4.5;-24.241;3.356;3.123
Phenalene;0;1;4.131;-7.914;0.014;4.131;-7.914;1.014;9.817;10.815;11.325;27.537
Phenalene;0;1;5.27;-5.707;0.013;5.27;-5.707;1.013;-5.935;-36.876;-1.957;-11.927
Phenalene;0;1;6.577;-7.81;0.013;6.577;-7.81;1.013;8.013;5.354;9.858;23.089
Phenanthrene;0;1;8.042;-10.379;0.003;8.042;-10.379;1.003;10.304;13.146;11.872;29.556
Phenanthrene;0;1;5.584;-10.317;-0.021;5.584;-10.317;-1.021;7.112;2.239;9.41;21.012
Phenanthrene;0;1;4.236;-12.372;0.016;4.236;-12.372;1.016;10.195;12.798;11.807;29.333
Ahthracene;0;1;3.533;-15.643;-0.064;3.533;-15.643;-1.064;9.172;10.068;10.964;26.502
Ahthracene;0;1;5.952;-15.274;-0.001;5.952;-15.274;-1.001;12.694;18.691;13.992;34.849
Ahthracene;0;1;8.371;-14.905;0.061;8.371;-14.905;1.061;9.146;9.993;10.941;26.737
5H-Benz[fg]acenaphthylene;0;1;4.299;-19.59;0.038;4.299;-19.59;1.038;-3.486;-28.858;0.194;-5.549
5H-Benz[fg]acenaphthylene;0;1;5.445;-17.398;0.038;5.445;-17.398;1.038;7.013;1.156;8.954;19.778
5H-Benz[fg]acenaphthylene;0;1;7.629;-17.395;0.038;7.629;-17.395;1.038;-0.536;-27.574;2.965;0.484
5H-Benz[fg]acenaphthylene;0;1;6.777;-19.409;0.038;6.777;-19.409;1.038;8.464;5.671;10.117;23.353
4H-Cyclopenta[def]phenanthrene;0;1;8.007;-21.065;-0.001;8.007;-21.065;-1.001;10.583;13.291;12.109;29.883
4H-Cyclopenta[def]phenanthrene;0;1;5.6;-21.445;-0.001;5.6;-21.445;-1.001;6.799;1.199;9.326;20.713
4H-Cyclopenta[def]phenanthrene;0;1;5.01;-23.809;0;5.01;-23.809;1;10.565;13.17;12.082;29.815
4H-Cyclopenta[def]phenanthrene;0;1;7.067;-23.046;0.001;7.067;-23.046;1.001;-2.052;-33.456;1.928;-2.467
Fluoranthene;0;1;4.229;-26.932;-0.219;4.229;-26.932;-1.219;7.148;3.59;8.995;20.46
Fluoranthene;0;1;6.305;-26.238;-0.028;6.305;-26.238;-1.028;-4.628;-39.399;0.152;-9.454
Fluoranthene;0;1;7.63;-24.529;0.277;7.63;-24.529;1.277;8.293;6.056;10.155;24.02
Fluoranthene;0;1;8.415;-26.8;0.001;8.415;-26.8;1.001;8.349;6.178;10.251;23.172
Acephenanthrene;0;1;10.184;1.355;0.163;10.184;1.355;1.163;9.646;11.237;11.298;27.77
Acephenanthrene;0;1;12.619;1.141;0.094;12.619;1.141;1.094;5.477;-3.83;7.893;16.049
Acephenanthrene;0;1;14.138;3.03;-0.053;14.138;3.03;-1.053;8.196;5.698;10.018;23.069
Acephenanthrene;0;1;14.789;0.954;0.043;14.789;0.954;1.043;-3.149;-35.145;0.818;-6.041
Aceanthrylene;0;1;10.492;-1.597;-0.263;10.492;-1.597;-1.263;8.158;7.349;10.113;22.42
Aceanthrylene;0;1;12.896;-1.769;0.148;12.896;-1.769;1.148;10.217;10.253;11.656;26.558
Aceanthrylene;0;1;14.187;-0.004;0.083;14.187;-0.004;1.083;-4.409;-37.812;-0.501;-10.338
Aceanthrylene;0;1;15.286;-1.838;0.5;15.286;-1.838;1.5;7.114;3.038;8.871;20.537
Pyrene;0;1;11.205;-5.758;-0.002;11.205;-5.758;-1.002;12.987;20.331;14.238;36.102
Pyrene;0;1;12.388;-3.609;0.003;12.388;-3.609;1.003;5.357;-3.233;8.151;17.223
Pyrene;0;1;14.838;-3.569;0;14.838;-3.569;1;12.839;19.887;14.123;35.763
Pyrene;0;1;13.656;-5.718;-0.005;13.656;-5.718;-1.005;5.353;-3.243;8.139;17.12
1H-Cyclopenta[l]phenanthrene;0;1;13.816;-5.343;-0.075;13.816;-5.343;-1.075;9.544;10.323;11.185;27.138
1H-Cyclopenta[l]phenanthrene;0;1;16.264;-4.984;-0.074;16.264;-4.984;-1.074;6.504;-0.681;9.058;19.301
1H-Cyclopenta[l]phenanthrene;0;1;17.066;-2.903;-0.075;17.066;-2.903;-1.075;0.423;-26.049;3.282;2.803
1H-Cyclopenta[l]phenanthrene;0;1;17.851;-6.881;-0.074;17.851;-6.881;-1.074;10.016;11.994;11.609;28.542
2H-Cyclopenta[l]phenanthrene;0;1;13.252;-12.749;0.126;13.252;-12.749;1.126;7.623;4.839;9.552;22.361
2H-Cyclopenta[l]phenanthrene;0;1;12.761;-10.305;0.124;12.761;-10.305;1.124;-3.176;-29.172;0.955;-5.04
2H-Cyclopenta[l]phenanthrene;0;1;14.424;-8.86;0.123;14.424;-8.86;1.123;3.218;-18.605;5.255;9.215
2H-Cyclopenta[l]phenanthrene;0;1;10.409;-9.48;0.123;10.409;-9.48;1.123;7.636;4.875;9.564;22.397
8H-Cyclopenta[b]phenanthrene;0;1;11.675;-14.236;-0.071;11.675;-14.236;-1.071;0.15;-25.274;3.237;2.674
8H-Cyclopenta[b]phenanthrene;0;1;13.886;-14.226;-0.07;13.886;-14.226;-1.07;10.096;10.653;11.579;27.762
8H-Cyclopenta[b]phenanthrene;0;1;16.346;-14.226;-0.069;16.346;-14.226;-1.069;6.69;1.366;9.23;20.405
8H-Cyclopenta[b]phenanthrene;0;1;17.651;-12.134;-0.07;17.651;-12.134;-1.07;10.177;12.574;11.702;28.882
1H-Cyclopent[a]anthracene;0;1;10.386;-18.044;-0.09;10.386;-18.044;-1.09;9.02;9.373;10.72;25.896
