Molecule;State;TCC;x1;y1;z1;x2;y2;z2;NICS(0);NICS_zz(0);NICS(1);NICS_zz(1)
Benz[e]aceanthrylene;0;1;13.508;1.621;0.112;13.508;1.621;1.112;9.903;8.804;11.463;26.784
Benz[e]aceanthrylene;0;1;14.478;3.581;0.046;14.478;3.581;1.046;-3.738;-38.127;0.166;-8.491
Benz[e]aceanthrylene;0;1;15.918;1.947;0.106;15.918;1.947;1.106;3.945;-8.547;6.581;11.713
Benz[e]aceanthrylene;0;1;17.543;0.115;0.164;17.543;0.115;1.164;9.263;10.092;11.046;26.908
Benz[l]aceanthrylene;0;1;11.678;-1.216;0.23;11.678;-1.216;1.23;9.635;11.264;11.802;28.767
Benz[l]aceanthrylene;0;1;12.463;-3.538;0.064;12.463;-3.538;1.064;4.344;-5.63;7.172;13.995
Benz[l]aceanthrylene;0;1;14.841;-4.158;0.01;14.841;-4.158;1.01;9.31;7.454;10.668;24.567
Benz[l]aceanthrylene;0;1;16.432;-2.676;-0.201;16.432;-2.676;-1.201;-4.734;-40.082;-1.402;-13.204
Benz[l]aceanthrylene;0;1;17.196;-4.713;-0.09;17.196;-4.713;-1.09;7.194;3.066;8.944;19.961
Cyclopenta[hi]chrysene;0;1;11.938;-10.242;-0.836;11.938;-10.242;-1.836;10.041;12.05;11.596;26.288
Cyclopenta[hi]chrysene;0;1;12.899;-8.04;-0.321;12.899;-8.04;-1.321;7.626;3.642;9.891;21.959
Cyclopenta[hi]chrysene;0;1;15.333;-7.722;-0.157;15.333;-7.722;-1.157;5.994;-2.152;8.337;15.978
Cyclopenta[hi]chrysene;0;1;16.371;-5.586;0.346;16.371;-5.586;1.346;7.993;5.044;9.646;22.587
Cyclopenta[hi]chrysene;0;1;17.488;-7.415;-0.021;17.488;-7.415;-1.021;-3.792;-35.054;0.506;-7.153
Benz[j]aceanthrylene;0;1;11.869;-14.459;-0.22;11.869;-14.459;-1.22;9.773;11.329;11.519;27.484
Benz[j]aceanthrylene;0;1;13.047;-12.296;-0.24;13.047;-12.296;-1.24;4.197;-6.007;7.144;13.128
Benz[j]aceanthrylene;0;1;15.482;-12.17;0.084;15.482;-12.17;1.084;9.301;7.149;11.051;24.837
Benz[j]aceanthrylene;0;1;16.504;-10.238;0.125;16.504;-10.238;1.125;-4.393;-38.82;-0.377;-9.87
Benz[j]aceanthrylene;0;1;17.869;-11.911;0.385;17.869;-11.911;1.385;7.384;3.601;9.26;21.621
Benz[k]acephenanthrylene;0;1;10.829;-18.522;0.289;10.829;-18.522;1.289;9.54;11.095;11.272;27.778
Benz[k]acephenanthrylene;0;1;13.205;-17.943;0.137;13.205;-17.943;1.137;10.953;13.162;12.633;30.335
Benz[k]acephenanthrylene;0;1;15.589;-17.402;0.002;15.589;-17.402;1.002;3.707;-9.351;6.551;11.399
Benz[k]acephenanthrylene;0;1;16.462;-15.133;-0.074;16.462;-15.133;-1.074;8.321;5.818;9.948;23.025
Benz[k]acephenanthrylene;0;1;17.711;-16.92;-0.088;17.711;-16.92;-1.088;-3.359;-35.914;0.717;-6.854
Cyclopenta[de]naphthacene;0;1;-6.826;1.916;0.544;-6.826;1.916;1.544;7.945;6.306;9.901;23.835
Cyclopenta[de]naphthacene;0;1;-4.402;2.139;0.275;-4.402;2.139;1.275;11.481;14.986;12.964;31.521
Cyclopenta[de]naphthacene;0;1;-1.976;2.307;-0.005;-1.976;2.307;-1.005;10.312;10.459;11.791;27.445
Cyclopenta[de]naphthacene;0;1;-0.987;4.247;-0.245;-0.987;4.247;-1.245;-4.586;-39.741;-0.722;-10.986
Cyclopenta[de]naphthacene;0;1;0.406;2.575;-0.31;0.406;2.575;-1.31;6.391;0.769;8.325;17.2
Benz[d]aceanthrylene;0;0;1.8122;-2.0241;-0.054;1.8122;-2.0241;-1.054;7.249;4.591;9.41;22.068
Benz[d]aceanthrylene;0;0;-0.6236;-1.834;0.0296;-0.6236;-1.834;1.0296;9.811;8.93;11.393;26.39
Benz[d]aceanthrylene;0;0;-1.6018;0.1126;0.2015;-1.6018;0.1126;1.2015;-5.598;-44.413;-1.639;-12.615
Benz[d]aceanthrylene;0;0;-3.0263;-1.5429;0.1157;-3.0263;-1.5429;1.1157;9.806;8.874;11.36;26.137
Benz[d]aceanthrylene;0;0;-5.4366;-1.1457;0.2137;-5.4366;-1.1457;1.2137;7.202;4.416;9.346;21.497
Benz[a]aceanthrylene;0;0;-5.2268;-5.7374;0.2877;-5.2268;-5.7374;1.2877;8.542;8.161;10.38;24.709
Benz[a]aceanthrylene;0;0;-2.9207;-6.5511;0.3284;-2.9207;-6.5511;1.3284;10.571;10.95;12.02;28.295
Benz[a]aceanthrylene;0;0;-1.2047;-5.1836;0.291;-1.2047;-5.1836;1.291;-4.635;-41.379;-0.099;-10.459
Benz[a]aceanthrylene;0;0;-0.5036;-3.1;0.2366;-0.5036;-3.1;1.2366;6.914;2.513;8.645;19.717
Benz[a]aceanthrylene;0;0;-0.6114;-7.2852;0.3635;-0.6114;-7.2852;1.3635;7.59;3.678;9.472;21.55
Benz[e]acephenanthrylene;0;0;-5.068;-10.3985;-0.1475;-5.068;-10.3985;-1.1475;9.641;11.186;11.375;27.52
Benz[e]acephenanthrylene;0;0;-2.6467;-10.0659;-0.0468;-2.6467;-10.0659;-1.0468;5.787;-3.438;8.199;16.413
Benz[e]acephenanthrylene;0;0;-1.5924;-7.8787;0.1075;-1.5924;-7.8787;1.1075;8.59;6.31;10.294;24.286
Benz[e]acephenanthrylene;0;0;-0.4851;-9.759;0.0405;-0.4851;-9.759;1.0405;-3.974;-38.734;0.641;-7.981
Benz[e]acephenanthrylene;0;0;1.4974;-10.707;0.0505;1.4974;-10.707;1.0505;7.173;3.456;8.939;20.743
Benzo[j]fluoranthene;0;0;-4.869;-13.3436;-0.0708;-4.869;-13.3436;-1.0708;8.839;8.816;10.516;25.263
Benzo[j]fluoranthene;0;0;-2.5336;-14.1158;-0.0717;-2.5336;-14.1158;-1.0717;7.895;4.065;9.668;21.85
Benzo[j]fluoranthene;0;0;-0.8484;-12.6802;-0.0715;-0.8484;-12.6802;-1.0715;-5.48;-44.052;-0.864;-12.649
Benzo[j]fluoranthene;0;0;-0.202;-10.5872;-0.0714;-0.202;-10.5872;-1.0714;7.876;4.569;9.539;21.706
Benzo[j]fluoranthene;0;0;1.3305;-12.4631;-0.0715;1.3305;-12.4631;-1.0715;7.73;4.107;9.498;21.638
Benzo[k]fluoranthene;0;0;-5.8443;-17.7766;0.2494;-5.8443;-17.7766;1.494;9.197;9.996;10.976;26.71
Benzo[k]fluoranthene;1;0;-3.4604;-17.2609;0.171;-3.4604;-17.2609;1.171;7.431;2.302;9.426;20.773
Benzo[k]fluoranthene;1;0;-1.3148;-16.7942;0.1046;-1.3148;-16.7942;1.1046;-4.484;-40.026;0.388;-8.867
Benzo[k]fluoranthene;1;0;0.7161;-17.5888;-0.0126;0.7161;-17.5888;-1.0126;8.188;5.605;10.101;23.596
Benzo[k]fluoranthene;1;0;0.2042;-15.2267;0.1443;0.2042;-15.2267;1.1443;8.217;5.666;10.132;23.104
Benzo[e]pyrene;1;0;-5.1692;-22.0327;-0.0003;-5.1692;-22.0327;-1.0003;8.774;8.124;10.667;25.662
Benzo[e]pyrene;1;0;-2.6941;-22.0456;0.00007;-2.6941;-22.0456;1.00007;1.348;-16.878;5.092;6.964
Benzo[e]pyrene;1;0;-0.222;-22.0592;0.0006;-0.222;-22.0592;1.0006;5.668;-2.586;8.324;17.534
Benzo[e]pyrene;1;0;-1.4453;-24.1787;0.0007;-1.4453;-24.1787;1.0007;11.815;16.366;13.267;32.95
Benzo[e]pyrene;1;0;-1.4219;-19.9263;-0.0002;-1.4219;-19.9263;-1.0002;11.641;15.841;13.189;32.717
Perylene;1;0;0.9093;-26.0795;-0.0001;0.9093;-26.0795;-1.0001;7.356;3.135;9.475;21.622
Perylene;1;0;-1.5689;-26.1106;0.00001;-1.5689;-26.1106;1.00001;-6.633;-40.683;-1.617;-13.261
Perylene;1;0;-4.0472;-26.1416;0.0002;-4.0472;-26.1416;1.0002;7.351;3.123;9.495;21.682
Perylene;1;0;-2.8211;-28.2497;0.00003;-2.8211;-28.2497;1.00003;7.502;3.57;9.562;21.881
Perylene;1;0;-0.3168;-23.9715;-0.00003;-0.3168;-23.9715;-1.00003;7.247;2.807;9.447;21.536
Benzo[a]pyrene;1;0;2.4251;1.0927;0.0003;2.4251;1.0927;1.0003;10.694;14.178;12.261;30.457
Benzo[a]pyrene;1;0;4.86;0.7654;0.0011;4.86;0.7654;1.0011;11.292;13.42;13.069;31.439
Benzo[a]pyrene;1;0;6.4143;2.6795;0.0014;6.4143;2.6795;1.0014;6.69;0.366;9.305;20.461
Benzo[a]pyrene;1;0;8.8346;2.2857;0.0023;8.8346;2.2857;1.0023;12.229;17.997;13.636;34.161
Benzo[a]pyrene;1;0;7.2882;0.3823;0.002;7.2882;0.3823;1.002;2.747;-11.271;6.005;10.455
1 2-Dihydrobenz[j]aceanthrylene;1;0;3.3108;-5.1881;-0.0628;3.3108;-5.1881;-1.0628;10.007;12.031;11.568;28.37
1 2-Dihydrobenz[j]aceanthrylene;1;0;4.7215;-3.1617;-0.0644;4.7215;-3.1617;-1.0644;5.163;-4.185;7.72;15.675
1 2-Dihydrobenz[j]aceanthrylene;0;1;7.1819;-3.3147;-0.0644;7.1819;-3.3147;-1.0644;11.358;13.38;12.938;31.042
1 2-Dihydrobenz[j]aceanthrylene;0;1;8.4236;-1.4793;-0.0631;8.4236;-1.4793;-1.0631;-2.029;-36.128;0.958;-4.554
1 2-Dihydrobenz[j]aceanthrylene;0;1;9.6107;-3.3383;-0.0625;9.6107;-3.3383;-1.0625;9.406;9.461;11.084;26.508
9 10-Dihydro-9 10[1  ,2  ]-benzenoanthracene;0;1;8.373;-9.0005;-1.9805;8.373;-9.0005;-2.9805;9.863;7.702;11.278;1.955
9 10-Dihydro-9 10[1  ,2  ]-benzenoanthracene;0;1;4.7822;-9.4653;0.7215;4.7822;-9.4653;1.7215;9.88;7.708;11.197;1.845
9 10-Dihydro-9 10[1  ,2  ]-benzenoanthracene;0;1;8.4129;-7.2222;2.1624;8.4129;-7.2222;3.1624;9.879;7.824;11.197;1.911
11H-Indeno[2 1 7-cde]pyrene;0;1;4.56963;-15.2701;-0.0324;4.56963;-15.2701;-1.0324;9.627;10.018;11.196;26.963
11H-Indeno[2 1 7-cde]pyrene;0;1;6.9735;-14.8409;-0.0313;6.9735;-14.8409;-1.0313;1.509;-16.677;5.225;7.04
11H-Indeno[2 1 7-cde]pyrene;0;1;9.33;-14.1418;-0.0316;9.33;-14.1418;-1.0316;5.238;-3.82;8.014;16.532
11H-Indeno[2 1 7-cde]pyrene;0;1;5.47085;-13.2704;-0.0322;5.47085;-13.2704;-1.0322;-2.917;-36.785;1.319;-4.491
11H-Indeno[2 1 7-cde]pyrene;0;1;7.5215;-12.4703;-0.0314;7.5215;-12.4703;-1.0314;12.093;16.604;13.509;33.326
11H-Indeno[2 1 7-cde]pyrene;0;1;8.7322;-16.5431;-0.031;8.7322;-16.5431;-1.031;11.56;15.908;13.077;32.408
11H-Cyclopenta[ghi]perylene;0;1;4.76599;-19.9232;-0.0067;4.76599;-19.9232;-1.0067;7.617;3.344;9.695;21.987
11H-Cyclopenta[ghi]perylene;0;1;7.194;-19.7537;-0.005;7.194;-19.7537;-1.005;-6.024;-39.069;-0.914;-11.414
11H-Cyclopenta[ghi]perylene;0;1;9.6196;-19.3235;-0.0049;9.6196;-19.3235;-1.0049;7.854;4.723;9.881;22.812
11H-Cyclopenta[ghi]perylene;0;1;5.8809;-18.023;-0.005;5.8809;-18.023;-1.005;-0.564;-29.981;2.965;0.658
11H-Cyclopenta[ghi]perylene;0;1;8.0114;-17.4615;-0.0047;8.0114;-17.4615;-1.0047;7.573;3.306;9.709;21.991
11H-Cyclopenta[ghi]perylene;0;1;6.1257;-21.9733;-0.0061;6.1257;-21.9733;-1.0061;7.891;4.754;9.863;22.779
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;5.4025;-22.5422;-0.1174;5.4025;-22.5422;-1.1174;2.796;-11.125;6.095;10.687
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;7.8252;-22.1734;-0.1156;7.8252;-22.1734;-1.1156;11.52;13.719;13.273;31.862
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;10.2511;-22.0704;-0.1155;10.2511;-22.0704;-1.1155;11.233;14.885;12.547;30.982
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;4.5663;-24.8663;-0.1184;4.5663;-24.8663;-1.1184;12.543;18.823;13.807;34.575
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;6.9689;-24.4478;-0.115;6.9689;-24.4478;-1.115;7.213;1.072;9.67;21.111
4H-Benzo[def]cyclopenta[mno]-chrysene;0;1;9.1027;-23.9408;-0.1138;9.1027;-23.9408;-1.1138;-4.171;-40.204;0.516;-7.072
11H-Cyclopenta[a]triphenylene;0;1;11.3031;-0.0114;-0.206;11.3031;-0.0114;-1.206;0.706;-21.496;2.722;0.107
11H-Cyclopenta[a]triphenylene;0;1;13.4647;-0.1913;0.228;13.4647;-0.1913;1.228;8.756;7.137;10.22;23.698
11H-Cyclopenta[a]triphenylene;0;1;14.9587;1.7895;0.0853;14.9587;1.7895;1.0853;2.489;-12.198;5.971;9.594
11H-Cyclopenta[a]triphenylene;0;1;14.0348;4.0824;0.1842;14.0348;4.0824;1.1842;9.267;9.699;11.698;27.823
11H-Cyclopenta[a]triphenylene;0;1;17.4098;1.451;-0.0978;17.4098;1.451;-1.0978;8.987;8.756;10.492;23.85
1H-Benzo[a]cyclopent[h]anthracene;0;1;10.3599;-6.8668;-0.0038;10.3599;-6.8668;-1.0038;9.905;11.719;11.477;28.127
1H-Benzo[a]cyclopent[h]anthracene;0;1;11.3814;-4.619;-0.0009;11.3814;-4.619;-1.0009;4.63;-5.537;7.357;14.599
1H-Benzo[a]cyclopent[h]anthracene;0;1;13.829;-4.2964;-0.0006;13.829;-4.2964;-1.0006;11.175;13.149;12.658;30.427
1H-Benzo[a]cyclopent[h]anthracene;0;1;16.2718;-3.9826;-0.0017;16.2718;-3.9826;-1.0017;9.265;8.843;11.042;26.148
1H-Benzo[a]cyclopent[h]anthracene;0;1;17.1639;-1.9501;-0.0044;17.1639;-1.9501;-1.0044;0.203;-26.185;3.093;2.288
9H-Benzo[a]cyclopent[i]anthracene;0;1;10.2583;-8.9695;0.0222;10.2583;-8.9695;1.0222;-0.073;-25.902;3.001;1.9
9H-Benzo[a]cyclopent[i]anthracene;0;1;12.4651;-8.9897;0.0221;12.4651;-8.9897;1.0221;9.478;8.825;11.031;25.984
9H-Benzo[a]cyclopent[i]anthracene;0;1;14.9164;-8.9963;0.0213;14.9164;-8.9963;1.0213;11.621;14.634;13.023;31.615
9H-Benzo[a]cyclopent[i]anthracene;0;1;17.3852;-9.0275;0.0199;17.3852;-9.0275;1.0199;4.856;-4.897;7.515;15.115
9H-Benzo[a]cyclopent[i]anthracene;0;1;18.7178;-6.9493;0.0254;18.7178;-6.9493;1.0254;9.995;12.003;11.551;28.378
9H-Indeno[2 1-c]phenanthrene;0;1;10.9509;-15.4275;0.1554;10.9509;-15.4275;1.1554;8.59;7.69;10.609;23.043
9H-Indeno[2 1-c]phenanthrene;0;1;12.925;-16.3145;-0.3022;12.925;-16.3145;-1.3022;-1.018;-28.945;3.785;0.573
9H-Indeno[2 1-c]phenanthrene;0;1;15.1105;-15.9701;-0.1945;15.1105;-15.9701;-1.1945;8.975;8.636;11.152;25.31
9H-Indeno[2 1-c]phenanthrene;0;1;16.0812;-13.7269;0.1357;16.0812;-13.7269;1.1357;6.401;0.982;8.27;18.27
9H-Indeno[2 1-c]phenanthrene;0;1;14.84;-11.67;-0.3548;14.84;-11.67;-1.3548;9.887;11.379;10.364;20.494
13H-Indeno[1 2-l]phenanthrene;0;1;-4.9474;1.4685;0.305;-4.9474;1.4685;1.305;8.904;8.93;10.316;24.873
13H-Indeno[1 2-l]phenanthrene;0;1;-2.8405;2.1551;0.3047;-2.8405;2.1551;1.3047;-1.206;-32.251;2.136;-2.057
13H-Indeno[1 2-l]phenanthrene;0;1;-0.7022;1.4937;0.3106;-0.7022;1.4937;1.3106;6.023;-2.407;8.516;17.392
13H-Indeno[1 2-l]phenanthrene;0;1;1.0702;3.2235;0.3059;1.0702;3.2235;1.3059;9.358;9.845;11.115;26.783
13H-Indeno[1 2-l]phenanthrene;0;1;-0.1339;-0.9147;0.3223;-0.1339;-0.9147;1.3223;9.985;11.807;11.542;28.157
7H-Dibenzo[c g]fluorene;0;1;-4.472;-1.2878;-0.2199;-4.472;-1.2878;-1.2199;9.609;11.098;10.401;22.115
7H-Dibenzo[c g]fluorene;0;1;-3.5896;-3.5351;0.2119;-3.5896;-3.5351;1.2119;8.761;7.517;9.949;23.249
7H-Dibenzo[c g]fluorene;0;1;-1.4242;-3.9933;0.0112;-1.4242;-3.9933;1.0112;-1.13;-29.986;2.38;-0.62
7H-Dibenzo[c g]fluorene;0;1;0.6183;-3.1402;-0.1857;0.6183;-3.1402;-1.1857;8.752;7.486;11.201;24.241
7H-Dibenzo[c g]fluorene;0;1;1.0661;-0.7687;0.2498;1.0661;-0.7687;1.2498;9.647;11.164;11.988;27.4
13H-Indeno[1 2-c]phenanthrene;0;1;-4.9082;-9.6731;0.1071;-4.9082;-9.6731;1.1071;8.679;8.186;10.268;24.755
13H-Indeno[1 2-c]phenanthrene;0;1;-3.1389;-8.3415;0.1084;-3.1389;-8.3415;1.1084;-1.032;-31.113;2.308;-1.401
13H-Indeno[1 2-c]phenanthrene;0;1;-0.9225;-8.3835;0.1161;-0.9225;-8.3835;1.1161;9.63;9.264;11.237;26.542
13H-Indeno[1 2-c]phenanthrene;0;1;0.4411;-6.3214;0.1167;0.4411;-6.3214;1.1167;6.565;0.173;8.803;18.976
13H-Indeno[1 2-c]phenanthrene;0;1;-0.5194;-4.0505;0.105;-0.5194;-4.0505;1.105;10.595;13.759;11.995;29.49
8H-Indeno[1 2-a]anthracene;0;1;-5.3839;-12.6489;-0.174;-5.3839;-12.6489;-1.174;9.035;9.239;10.375;25.122
8H-Indeno[1 2-a]anthracene;0;1;-3.4147;-13.663;-0.1783;-3.4147;-13.663;-1.1783;-0.786;-30.346;2.489;-0.82
8H-Indeno[1 2-a]anthracene;0;1;-1.2075;-13.3553;-0.1837;-1.2075;-13.3553;-1.1837;8.068;5.079;9.918;22.618
8H-Indeno[1 2-a]anthracene;0;1;-0.2157;-11.1022;-0.1859;-0.2157;-11.1022;10.1859;12.253;16.893;13.457;33.057
8H-Indeno[1 2-a]anthracene;0;1;0.8068;-8.8689;-0.1875;0.8068;-8.8689;-1.1875;9.097;9.65;10.827;26.19
7H-Dibenzo[b g]fluorene;0;1;-5.9243;-16.8829;-0.0134;-5.9243;-16.8829;-1.0134;9.639;11.199;11.255;27.487
7H-Dibenzo[b g]fluorene;0;1;-3.5393;-17.4421;-0.0141;-3.5393;-17.4421;-1.0141;9.446;8.575;10.91;25.501
7H-Dibenzo[b g]fluorene;0;1;-1.3863;-17.9649;-0.0141;-1.3863;-17.9649;-1.0141;-1.096;-31.287;2.225;-1.746
7H-Dibenzo[b g]fluorene;0;1;0.6828;-17.1465;-0.0096;0.6828;-17.1465;-1.0096;8.827;7.452;10.561;24.611
7H-Dibenzo[b g]fluorene;0;1;1.119;-14.7265;-0.004;1.119;-14.7265;-1.004;9.849;11.81;11.373;27.802
8H-Indeno[2 1-b]phenanthrene;0;1;-5.1539;-20.3667;-0.0108;-5.1539;-20.3667;-1.0108;8.654;8.309;10.228;24.743
8H-Indeno[2 1-b]phenanthrene;0;1;-3.2094;-21.4237;-0.0119;-3.2094;-21.4237;-1.0119;-1.502;-31.752;2.168;-1.719
8H-Indeno[2 1-b]phenanthrene;0;1;-1.0201;-21.0793;-0.0127;-1.0201;-21.0793;-1.0127;9.44;8.398;11.107;26.051
8H-Indeno[2 1-b]phenanthrene;0;1;1.4143;-20.7181;-0.0119;1.4143;-20.7181;-1.0119;6.714;0.704;9.42;19.736
8H-Indeno[2 1-b]phenanthrene;0;1;2.3951;-18.4561;-0.0112;2.3951;-18.4561;-1.0112;10.141;12.449;11.695;28.791
13H-Dibenzo[a g]fluorene;0;1;-3.9684;-27.0151;0.0371;-3.9684;-27.0151;1.0371;9.791;11.516;11.297;27.606
13H-Dibenzo[a g]fluorene;0;1;-3.778;-24.5631;0.0372;-3.778;-24.5631;1.0372;9.027;7.866;10.657;24.945
13H-Dibenzo[a g]fluorene;0;1;-1.8018;-23.5426;0.0442;-1.8018;-23.5426;1.0442;-1.002;-31.717;2.255;-1.617
13H-Dibenzo[a g]fluorene;0;1;0.4007;-23.8538;0.0367;0.4007;-23.8538;1.0367;9.163;8.169;10.76;25.188
13H-Dibenzo[a g]fluorene;0;1;1.9214;-21.921;0.0384;1.9214;-21.921;1.0384;9.28;9.9;10.953;26.508
7H-Indeno[1 2-a]phenanthrene;0;1;2.3704;1.3201;0.1901;2.3704;1.3201;1.1901;9.033;9.288;10.392;25.167
7H-Indeno[1 2-a]phenanthrene;0;1;4.3528;0.3289;0.1985;4.3528;0.3289;1.1985;-0.804;8.345;2.505;-0.755
7H-Indeno[1 2-a]phenanthrene;0;1;6.5523;0.668;0.205;6.5523;0.668;1.205;9.284;8.345;10.923;25.642
7H-Indeno[1 2-a]phenanthrene;0;1;7.4996;2.9524;0.2035;7.4996;2.9524;1.2035;6.883;1.122;9.146;20.026
7H-Indeno[1 2-a]phenanthrene;0;1;9.9394;3.3253;0.2062;9.9394;3.3253;1.2062;10.131;12.523;11.712;28.847
13H-Dibenzo[a i]fluorene;0;1;1.5361;-1.7629;-0.0136;1.5361;-1.7629;-1.0136;9.244;9.824;10.908;26.367
13H-Dibenzo[a i]fluorene;0;1;3.3795;-3.3881;-0.0134;3.3795;-3.3881;-1.0134;8.877;7.412;10.698;25.024
